,Season,Team,Avg FG3%,Avg FG%,Avg FT%,AvgTO,avgScore,avgBlk,avgDr,avgAst,avgPf,avgStl,avgOR,Home Win,Neutral Win,Away Win,Wins,Losses,Upsets,Games,AvgWinRank,AvgLossRank,AvgOffRating,AvgDefRating,AvgNetRating,Top 25 Wins,Top 10 Wins
2003_1102,2003,1102,37.56,48.11,65.14,11.43,57.25,1.79,16.82,13.0,18.75,5.96,4.18,9,0,3,12,16,3,28,216.75,69.94,103.75,103.82,-0.06,0,0
2003_1103,2003,1103,33.87,48.61,73.64,12.63,78.78,2.33,19.93,15.22,19.85,7.26,9.78,9,0,4,13,14,7,27,170.08,165.64,110.57,110.63,-0.06,0,0
2003_1104,2003,1104,32.01,42.04,70.99,13.29,69.29,3.79,23.93,12.11,18.04,6.61,13.57,13,3,1,17,11,4,28,100.59,47.91,103.37,98.06,5.31,3,1
2003_1105,2003,1105,36.48,39.58,70.6,18.65,71.77,2.08,23.12,14.54,20.23,9.31,13.5,5,0,2,7,19,4,26,299.71,220.21,93.0,100.98,-7.98,0,0
2003_1106,2003,1106,34.62,42.38,64.64,17.04,63.61,3.14,23.86,11.68,18.18,8.36,12.29,8,0,5,13,15,4,28,271.77,190.4,93.65,94.46,-0.81,0,0
2003_1107,2003,1107,35.75,41.83,73.35,12.57,65.93,2.04,20.25,11.93,15.89,6.86,8.25,5,0,2,7,21,4,28,289.43,174.71,96.41,109.29,-12.88,0,0
2003_1108,2003,1108,31.91,42.47,66.86,18.45,69.09,3.52,23.21,13.85,19.67,8.18,13.12,7,2,5,14,19,4,33,285.86,178.32,93.57,98.36,-4.79,0,0
2003_1110,2003,1110,37.9,43.28,68.15,13.17,66.37,1.73,23.13,14.23,18.13,6.4,10.0,11,2,3,16,14,2,30,249.62,152.21,103.16,96.31,6.85,0,0
2003_1111,2003,1111,32.75,44.36,71.95,16.19,83.27,4.62,25.31,15.23,18.69,9.85,13.0,9,1,6,16,10,4,26,229.38,130.3,104.03,102.09,1.94,0,0
2003_1112,2003,1112,35.05,46.14,70.14,14.79,85.21,4.21,27.64,17.64,17.75,8.46,15.18,14,0,11,25,3,0,28,102.36,65.33,110.62,91.78,18.84,3,2
2003_1113,2003,1113,31.78,47.82,66.97,14.0,75.97,4.24,23.31,15.55,19.41,5.21,13.69,12,2,4,18,11,2,29,137.11,29.64,109.23,98.75,10.48,1,0
2003_1114,2003,1114,37.11,44.83,69.27,15.96,70.04,2.36,22.86,11.5,20.5,6.61,10.54,9,3,4,16,12,4,28,222.06,109.83,100.82,100.06,0.76,0,0
2003_1115,2003,1115,28.18,35.46,63.89,19.11,54.5,2.75,21.04,10.18,20.25,7.96,9.96,2,0,2,4,24,3,28,274.25,193.5,75.72,102.65,-26.93,0,0
2003_1116,2003,1116,31.02,39.27,60.95,16.68,61.64,3.54,23.43,9.82,20.93,6.46,14.54,8,0,1,9,19,5,28,135.11,50.0,92.19,99.73,-7.54,1,0
2003_1117,2003,1117,37.12,43.32,73.79,13.27,71.12,1.65,20.38,11.92,21.42,7.15,10.96,7,1,3,11,15,4,26,221.45,141.73,105.84,105.22,0.62,0,0
2003_1119,2003,1119,35.59,41.18,67.61,17.36,53.68,1.6,21.56,11.72,19.32,5.56,7.92,2,0,1,3,22,3,25,235.67,211.18,85.17,106.38,-21.21,0,0
2003_1120,2003,1120,34.49,46.98,66.22,15.9,70.1,4.97,22.57,13.4,16.37,8.03,11.93,13,3,3,19,11,0,30,132.68,31.91,102.64,96.6,6.05,0,0
2003_1122,2003,1122,34.91,45.23,69.14,15.22,69.7,4.67,24.22,13.41,18.67,7.04,10.63,11,3,6,20,7,1,27,188.3,149.0,102.62,99.42,3.2,0,0
2003_1123,2003,1123,32.2,42.89,72.59,12.83,73.3,2.2,21.73,10.5,22.87,5.2,13.17,9,2,2,13,17,2,30,182.85,91.0,103.42,107.57,-4.15,0,0
2003_1124,2003,1124,34.19,40.7,72.51,13.29,69.0,2.96,23.18,14.21,15.75,8.32,11.71,10,2,2,14,14,3,28,195.57,48.79,101.65,100.31,1.35,1,0
2003_1125,2003,1125,36.76,46.58,70.19,16.93,72.46,1.71,23.64,16.89,18.36,9.07,10.54,7,2,7,16,12,2,28,228.62,123.42,103.69,101.4,2.29,0,0
2003_1126,2003,1126,35.77,41.32,69.31,15.87,64.7,1.8,20.43,10.97,19.43,8.27,12.3,4,1,3,8,22,2,30,291.5,207.36,94.77,105.03,-10.26,0,0
2003_1127,2003,1127,34.97,42.03,67.59,15.07,66.56,6.48,24.22,12.7,18.26,6.44,11.7,9,1,4,14,13,3,27,249.43,165.46,97.81,97.33,0.49,0,0
2003_1128,2003,1128,35.52,44.28,72.32,15.65,67.85,3.96,21.46,13.38,18.08,7.88,10.65,10,0,7,17,9,2,26,261.29,181.78,103.95,99.36,4.6,0,0
2003_1129,2003,1129,29.77,41.07,69.74,14.39,65.89,3.82,21.93,11.64,19.5,6.64,11.18,8,0,4,12,16,5,28,216.0,112.62,95.08,96.45,-1.37,0,0
