ID,Pred
2014_1107_1110,0.3267442
2014_1107_1112,0.0075203483
2014_1107_1113,0.018269546
2014_1107_1124,0.033696014
2014_1107_1140,0.026588397
2014_1107_1142,0.5133157
2014_1107_1153,0.014525597
2014_1107_1157,0.48559746
2014_1107_1160,0.017952578
2014_1107_1163,0.018343534
2014_1107_1166,0.007954481
2014_1107_1173,0.030179195
2014_1107_1174,0.087864704
2014_1107_1181,0.009163664
2014_1107_1184,0.23000452
2014_1107_1196,0.01164998
2014_1107_1203,0.017901644
2014_1107_1211,0.018319897
2014_1107_1217,0.12231986
2014_1107_1234,0.020806754
2014_1107_1235,0.013641454
2014_1107_1242,0.015350206
2014_1107_1243,0.035054717
2014_1107_1246,0.015308812
2014_1107_1257,0.013006875
2014_1107_1264,0.13646318
2014_1107_1269,0.033989817
2014_1107_1272,0.02243138
2014_1107_1273,0.17098829
2014_1107_1276,0.016940964
2014_1107_1277,0.019073887
2014_1107_1291,0.5335234
2014_1107_1295,0.08331255
2014_1107_1300,0.22586448
2014_1107_1301,0.03748172
2014_1107_1304,0.04090172
2014_1107_1307,0.016506627
2014_1107_1308,0.1635358
2014_1107_1314,0.01830123
2014_1107_1326,0.014560949
2014_1107_1328,0.0157025
2014_1107_1329,0.023286486
2014_1107_1332,0.015335812
2014_1107_1338,0.017126486
2014_1107_1344,0.021787029
2014_1107_1361,0.034344867
2014_1107_1372,0.06683662
2014_1107_1386,0.038832102
2014_1107_1387,0.026968498
2014_1107_1390,0.027347155
2014_1107_1393,0.019721312
2014_1107_1397,0.035446074
2014_1107_1400,0.013782039
2014_1107_1409,0.11406626
2014_1107_1411,0.53708345
2014_1107_1417,0.0079953475
2014_1107_1418,0.23709804
2014_1107_1433,0.020009153
2014_1107_1437,0.01294423
2014_1107_1438,0.020797953
2014_1107_1444,0.09204655
2014_1107_1451,0.45730755
2014_1107_1454,0.27670988
2014_1107_1455,0.0082237525
2014_1107_1458,0.014792369
2014_1107_1459,0.4520429
2014_1107_1462,0.019177169
2014_1110_1112,0.008500321
2014_1110_1113,0.038522307
2014_1110_1124,0.052384503
2014_1110_1140,0.070795685
2014_1110_1142,0.58322906
2014_1110_1153,0.021880306
2014_1110_1157,0.6628673
2014_1110_1160,0.03470379
2014_1110_1163,0.032982502
2014_1110_1166,0.013182423
2014_1110_1173,0.069927886
2014_1110_1174,0.21931946
2014_1110_1181,0.018252516
2014_1110_1184,0.4209677
2014_1110_1196,0.01229056
2014_1110_1203,0.03817682
2014_1110_1211,0.050994758
2014_1110_1217,0.18923497
2014_1110_1234,0.05238489
2014_1110_1235,0.02321884
2014_1110_1242,0.02221443
2014_1110_1243,0.08110043
2014_1110_1246,0.022997376
2014_1110_1257,0.02323957
2014_1110_1264,0.21583404
2014_1110_1269,0.056380663
2014_1110_1272,0.04959071
2014_1110_1273,0.34702313
2014_1110_1276,0.023774235
2014_1110_1277,0.027415337
2014_1110_1291,0.6890025
2014_1110_1295,0.20032607
2014_1110_1300,0.30371457
2014_1110_1301,0.06654703
2014_1110_1304,0.0814301
2014_1110_1307,0.039337087
2014_1110_1308,0.36045578
2014_1110_1314,0.039168026
2014_1110_1326,0.022900503
2014_1110_1328,0.024640571
2014_1110_1329,0.05026585
2014_1110_1332,0.02949153
2014_1110_1338,0.035670184
2014_1110_1344,0.048230566
2014_1110_1361,0.047927957
2014_1110_1372,0.17013855
2014_1110_1386,0.07618141
2014_1110_1387,0.051944118
2014_1110_1390,0.06180428
2014_1110_1393,0.03876265
2014_1110_1397,0.07233467
2014_1110_1400,0.025705077
2014_1110_1409,0.22633287
2014_1110_1411,0.77405715
2014_1110_1417,0.016002404
