,avgOR,AvgOffRating,avgStl,Avg FT%,avgAst,Neutral Win,AvgDefRating,Season,avgPf,Away Win,Avg FG%,Top 10 Wins,AvgWinRank,avgBlk,Avg FG3%,Wins,Losses,AvgLossRank,avgDr,Games,Team,Top 25 Wins,avgScore,Upsets,AvgNetRating,Home Win,AvgTO,Conference
2003_1102,4.18,103.75,5.96,65.14,13.0,0,103.82,2003,18.75,3,48.11,0,216.75,1.79,37.56,12,16,69.94,16.82,28,1102,0,57.25,3,-0.06,9,11.43,mwc
2003_1103,9.78,110.57,7.26,73.64,15.22,0,110.63,2003,19.85,4,48.61,0,170.08,2.33,33.87,13,14,165.64,19.93,27,1103,0,78.78,7,-0.06,9,12.63,mac
2003_1104,13.57,103.37,6.61,70.99,12.11,3,98.06,2003,18.04,1,42.04,1,100.59,3.79,32.01,17,11,47.91,23.93,28,1104,3,69.29,4,5.31,13,13.29,sec
2003_1105,13.5,93.0,9.31,70.6,14.54,0,100.98,2003,20.23,2,39.58,0,299.71,2.08,36.48,7,19,220.21,23.12,26,1105,0,71.77,4,-7.98,5,18.65,swac
2003_1106,12.29,93.65,8.36,64.64,11.68,0,94.46,2003,18.18,5,42.38,0,271.77,3.14,34.62,13,15,190.4,23.86,28,1106,0,63.61,4,-0.81,8,17.04,swac
2003_1107,8.25,96.41,6.86,73.35,11.93,0,109.29,2003,15.89,2,41.83,0,289.43,2.04,35.75,7,21,174.71,20.25,28,1107,0,65.93,4,-12.88,5,12.57,aec
2003_1108,13.12,93.57,8.18,66.86,13.85,2,98.36,2003,19.67,5,42.47,0,285.86,3.52,31.91,14,19,178.32,23.21,33,1108,0,69.09,4,-4.79,7,18.45,swac
2003_1110,10.0,103.16,6.4,68.15,14.23,2,96.31,2003,18.13,3,43.28,0,249.63,1.73,37.9,16,14,152.21,23.13,30,1110,0,66.37,2,6.85,11,13.17,patriot
2003_1111,13.0,104.03,9.85,71.95,15.23,1,102.09,2003,18.69,6,44.36,0,229.38,4.62,32.75,16,10,130.3,25.31,26,1111,0,83.27,4,1.94,9,16.19,southern
2003_1112,15.18,110.62,8.46,70.14,17.64,0,91.78,2003,17.75,11,46.14,2,102.36,4.21,35.05,25,3,65.33,27.64,28,1112,3,85.21,0,18.84,14,14.79,pac_ten
2003_1113,13.69,109.23,5.21,66.97,15.55,2,98.75,2003,19.41,4,47.82,0,137.11,4.24,31.78,18,11,29.64,23.31,29,1113,1,75.97,2,10.48,12,14.0,pac_ten
2003_1114,10.54,100.82,6.61,69.27,11.5,3,100.06,2003,20.5,4,44.83,0,222.06,2.36,37.11,16,12,109.83,22.86,28,1114,0,70.04,4,0.76,9,15.96,sun_belt
2003_1115,9.96,75.72,7.96,63.89,10.18,0,102.65,2003,20.25,2,35.46,0,274.25,2.75,28.18,4,24,193.5,21.04,28,1115,0,54.5,3,-26.93,2,19.11,swac
2003_1116,14.54,92.19,6.46,60.95,9.82,0,99.73,2003,20.93,1,39.27,0,135.11,3.54,31.02,9,19,50.0,23.43,28,1116,1,61.64,5,-7.54,8,16.68,sec
2003_1117,10.96,105.84,7.15,73.79,11.92,1,105.22,2003,21.42,3,43.32,0,221.45,1.65,37.12,11,15,141.73,20.38,26,1117,0,71.12,4,0.62,7,13.27,sun_belt
2003_1119,7.92,85.17,5.56,67.61,11.72,0,106.38,2003,19.32,1,41.18,0,235.67,1.6,35.59,3,22,211.18,21.56,25,1119,0,53.68,3,-21.21,2,17.36,patriot
2003_1120,11.93,102.64,8.03,66.22,13.4,3,96.6,2003,16.37,3,46.98,0,132.68,4.97,34.49,19,11,31.91,22.57,30,1120,0,70.1,0,6.05,13,15.9,sec
